"Transaction Hash","Blockno","UnixTimestamp","DateTime (UTC)","From","To","ContractAddress","Value_IN(ETH)","Value_OUT(ETH)","CurrentValue @ $3386.61372393106/Eth","TxnFee(ETH)","TxnFee(USD)","Historical $Price/Eth","Status","ErrCode","Method"
"0xbdabbb5b6aeef7ce35456db0217ccd5702a2710d37bc646feb8e1772e90d3e56","16883792","1679496143","2023-03-22 14:42:23","0x302d2451d9f47620374b54c521423bf0403916a2","","0x94f864e55c77e07c2c7bf7bfbc334b7a8123442a","0","0","0","0.055552044725710985","188.133317060525","1738.86","","","0x60806040"
"0x8fb18fc5c0a1fcd5357828b5655f54a2bfaa741bbc85b54d4a89c12b86fc1c75","16883809","1679496347","2023-03-22 14:45:47","0x302d2451d9f47620374b54c521423bf0403916a2","0x94f864e55c77e07c2c7bf7bfbc334b7a8123442a","","0","0","0","0.00132574050399505","4.48977098520092","1738.86","","","Nominate New Owner"
"0x1533dbd5def92dfb4cf73af90646a8d295a35cfc9db63223c2eae9303f525c7c","17544076","1687545191","2023-06-23 18:33:11","0xde910777c787903f78c89e7a0bf7f4c435cbb1fe","0x94f864e55c77e07c2c7bf7bfbc334b7a8123442a","","0","0","0","0.02512075226066184","85.0742843614296","1893.48","","","Migrate Debt"
"0x88f6f7061fc847afeb52bb61c40a9dab0c6a6b85fd78810285173257240aa772","19014706","1705350935","2024-01-15 20:35:35","0x37ffbbee75b446b2854efff46736642be7a70a95","0x94f864e55c77e07c2c7bf7bfbc334b7a8123442a","","0","0","0","0.030658214617048634","103.827530373321","2510.12","","","Migrate Debt"
"0x22ace96bab51fcd3d584ead0001089cc69d932edcbf4a5c36b5af3ae7f50df65","19052982","1705812899","2024-01-21 04:54:59","0x5dcf4010ad5141bc8490a287f2d9823bceb5994b","0x94f864e55c77e07c2c7bf7bfbc334b7a8123442a","","0","0","0","0.021222866808819027","71.8736519959075","2455.35","","","Migrate Debt"
"0x02a0f94342965ab7d51f25659d39e6a5efb70250aaf25b28be9830154187bcd8","19145738","1706937959","2024-02-03 05:25:59","0x7476d1e9659a49b92c3f65f0a6de00a18fc3d6fa","0x94f864e55c77e07c2c7bf7bfbc334b7a8123442a","","0","0","0","0.055776375","188.893037046125","2295.87","","","Migrate Debt"
"0x8e9ae769d340490a8c589a4b7216eb76e8be9b1a1d81fa7a454e25e6ee3c08f0","19160888","1707121715","2024-02-05 08:28:35","0x46821532292560e52a082fe1276b1a9f3c0c8185","0x94f864e55c77e07c2c7bf7bfbc334b7a8123442a","","0","0","0","0.032496491292692466","110.053063391438","2299.16","","","Migrate Debt"
"0x3ef3b4a7141e33e55817e6f8e327e3a596cb5e628f304dc80bf7efc97baf4c3a","19310523","1708935803","2024-02-26 08:23:23","0x8734df37b4d20649371becfaca2a5e38b5492136","0x94f864e55c77e07c2c7bf7bfbc334b7a8123442a","","0","0","0","0.026876801104043008","91.0213434743175","3178.24","","","Migrate Debt"
"0xd4326490cac487808aa854bfb24cfc58c8ad840e0f0396671c0246c3c2994364","19310695","1708937867","2024-02-26 08:57:47","0x57f39a945d28593b7fd9c0e54c66364d795ef6ba","0x94f864e55c77e07c2c7bf7bfbc334b7a8123442a","","0","0","0","0.045479558057208108","154.02169547486","3178.24","","","Migrate Debt"
"0x3d25579478388d22e6ff7c99698995d92d1b3ac1f5a924916b0c55651fdf6b09","19353281","1709452463","2024-03-03 07:54:23","0x6e3aa85db95bba36276a37ed93b12b7ab0782afb","0x94f864e55c77e07c2c7bf7bfbc334b7a8123442a","","0","0","0","0.120599511649581472","408.423961251856","3489.57","","","Migrate Debt"
"0x897890b87bb8bdd12f790d3e82d6f1028148b99610c6dfd0fec690e11df88fbd","19625182","1712751539","2024-04-10 12:18:59","0x3e3bdf0848852338631189f2293cd5b29df20985","0x94f864e55c77e07c2c7bf7bfbc334b7a8123442a","","0","0","0","0.025669864331789936","86.9339148374882","3545.56","","","Migrate Debt"
"0xd4e2bf662215ad7c147ca2df43a7f3bb13a5fff093fe57079bfbf1f58d20c90d","19829188","1715217839","2024-05-09 01:23:59","0xc34ae1a39662415a4720d4a3e7c2be0e202568c2","0x94f864e55c77e07c2c7bf7bfbc334b7a8123442a","","0","0","0","0.00657694606260055","22.2735757971574","3035.93","Error(0)","execution reverted","Migrate Debt"
"0xf45e22f92bde2d39f88c0254fbb336c229dae1b8dc38a1d75fe9b75d8ec10295","19885757","1715901371","2024-05-16 23:16:11","0x6de6e901bbefd26a9888798a25e4a49309d04ca9","0x94f864e55c77e07c2c7bf7bfbc334b7a8123442a","","0","0","0","0.023839824","80.7362751345011","2945.17","","","Migrate Debt"
"0x61fba056492faca4941d158b41c553389ba3fb44724f19d02c4c57cb6f99cd29","19894733","1716009887","2024-05-18 05:24:47","0xf6269288e33a457ca8f2f3592f926ccfafbb89ea","0x94f864e55c77e07c2c7bf7bfbc334b7a8123442a","","0","0","0","0.031540590252144941","106.8157958088","3123.72","","","Migrate Debt"
"0x0e2900d4c8d886109d1be9f24c351b8cd81066204d303a3bb8a9a3ec05dc1626","19987375","1717129055","2024-05-31 04:17:35","0x6d03769720335fb8a3abd64e39919d43cadcdb2a","0x94f864e55c77e07c2c7bf7bfbc334b7a8123442a","","0","0","0","0.01777812648654476","60.2076471451148","3758.65","","","Migrate Debt"
"0x5ccf1a60bb8be7d9071dadab78af96c5352be1d74d4f2fb61d702e6ac28e2679","20170537","1719340691","2024-06-25 18:38:11","0xa8097c13dd8ad383d264fbef6e36b8923889fbcd","0x94f864e55c77e07c2c7bf7bfbc334b7a8123442a","","0","0","0","0.023910416102674998","80.9753433182214","3393.91","","","Migrate Debt"
